id,picking_slip_id,printed_username,inspected_username,packed_username,shipped_username,held_username,cancelled_username,refunded_username,confirmed_username,printed_at,inspected_at,packed_at,shipped_at,delivered_at,returned_at,cancelled_at,refunded_at,held_at,confirmed_at,held_reason
1388,1388,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-01-30 10:01:06,2023-01-30 10:05:06,2023-01-30 10:05:47,2023-01-30 10:10:02,,,,,,,
1389,1389,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-01-30 10:01:31,2023-01-30 10:04:02,2023-01-30 10:06:38,2023-01-30 10:10:20,,,,,,,
1390,1390,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-01-30 10:01:23,2023-01-30 10:04:44,2023-01-30 10:06:24,2023-01-30 10:10:20,,,,,,,
1391,1391,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-01-25 09:52:04,2023-01-25 09:52:32,2023-01-27 06:00:56,2023-01-30 09:34:32,,2023-03-07 01:18:36,,,,,
1392,1392,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-01-26 02:04:06,2023-01-26 02:04:38,2023-01-27 00:10:20,2023-01-27 00:10:41,,2023-03-09 10:49:09,,,,,
1405,1405,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-01-26 02:25:30,2023-01-26 02:26:09,2023-01-27 00:07:54,2023-01-27 00:10:41,,,,,,,
1406,1406,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-01-26 02:29:04,2023-01-26 02:29:46,2023-01-27 00:04:45,2023-01-27 00:10:41,,,,,,,
1407,1407,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-08 06:55:18,2023-02-08 06:59:05,2023-02-08 06:59:05,2023-02-27 08:38:49,,,,,,,
1408,1408,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-08 06:55:18,2023-02-08 06:59:10,2023-02-08 06:59:10,2023-02-27 08:38:49,,,,,,,
1409,1409,chloe93(12810),chloe93(12810),kay_(65298),,,,,,2023-01-30 10:02:06,2023-01-30 10:02:44,2023-02-06 06:54:38,2023-04-17 06:55:49,,,,,,,
1410,1410,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-08 06:55:18,2023-02-08 06:59:14,2023-02-08 06:59:14,2023-02-27 08:38:49,,,,,,,
1411,1411,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-02-21 08:59:19,2023-02-21 08:59:46,2023-02-21 08:59:46,2023-02-27 08:38:49,,,,,,,
1412,1412,chloe93(12810),chloe93(12810),chloe93(12810),,,,,,2023-01-30 10:00:58,2023-01-30 10:05:13,2023-01-30 10:05:30,2023-01-30 10:10:02,,,,,,,
